"Total tracks","Total tracks"
"Unique sessions","Unique sessions"
"More Details","More Details"
"Visits Generated","Visits Generated"
"Shipments Tracked","Shipments Tracked"
"Packpin Stats","Packpin Stats"
"----- Packpin carriers -----","----- Packpin-Boten -----"
"Select All","Alle markieren"
"Unselect All","Keine markieren"
"Packpin Notifications","Packpin Nachrichten"
"Packpin Notification Settings","Einstellungen der Packpin nachrichten"
"Shipment status","Sendungsstatus"
"You have successfully unsubscribed from package status updates","Sie haben die Aktualisierung des Sendungsstatus erfolgreich abbestellt"
"Subscription not found or already unsubscribed!","Abbonement nicht gefunden oder wurde von Ihnen abbestellt"
"Tracking info not found!","Verfolgungsinformation nicht gefunden"
"Unsubscribe","Newsletter abbestellen"
"You have to enter API key before saving config!","Geben Sie ihr Kennwort ein, um die Änderungen zu speichern!"
"Error sending data to API","Fehler beim Senden die Daten zur API"
"Your temporary API key has expired!","Vorübergehendes Kennwort ist nicht mehr gültig"
"Your temporary API key will expire in","Die Gültigkeit ihres temporäres Kennworts endet in"
"%s days","%s tage"
"While waiting, we have something for you. Check offerings bellow:","Während der Wartezeit haben wir etwas für Sie. Die Angebote weiter unten:"
"Add to Cart","In den Warenkorb"
"Shipped By","Absender"
"Tracking Number","Sendungsnummer"
"Track your item","Sendungsverfolgung"
"No tracking info!","Keine Verfolgungsinformation vorhanden!"
"Shipment Information","Sendungsinformation"
"Dispatched","Aus dem Lager versandt"
"In Transit","Unterwegs"
"Out for delivery","An Ihre nächstgelegene Filiale geliefert"
"Delivered","An den Empfänger geliefert"
"Tracking Info","Verfolgungsinformation"
"Package prepared for dispatch","Die Sendung liegt für den Versand bereit"
"Order number","Bestellungsnummer"
"Tracking code","Verfolgungs-Code"
"Shipped on","Versandt am"
"Ships to","Versand nach"
"For questions regarding your shipment contact carrier directly","Für weitere Fragen kontaktieren Sie bitte den Boten"
