"Total tracks","Total tracks"
"Unique sessions","Unique sessions"
"More Details","More Details"
"Visits Generated","Visits Generated"
"Shipments Tracked","Shipments Tracked"
"Packpin Stats","Packpin Stats"
"----- Packpin carriers -----","----- Packpin carriers -----"
"Select All","Select All"
"Unselect All","Unselect All"
"Packpin Notifications","Packpin Notifications"
"Packpin Notification Settings","Packpin Notification Settings"
"Shipment status","Shipment status"
"You have successfully unsubscribed from package status updates","You have successfully unsubscribed from package status updates"
"Subscription not found or already unsubscribed!","Subscription not found or already unsubscribed!"
"Tracking info not found!","Tracking info not found!"
"Unsubscribe","Unsubscribe"
"You have to enter API key before saving config!","You have to enter API key before saving config!"
"Error sending data to API","Error sending data to API"
"Your temporary API key has expired!","Your temporary API key has expired!"
"Your temporary API key will expire in","Your temporary API key will expire in"
"%s days","%s days"
"While waiting, we have something for you. Check offerings bellow:","While waiting, we have something for you. Check offerings bellow:"
"Add to Cart","Add to Cart"
"Shipped By","Shipped By"
"Tracking Number","Tracking Number"
"Track your item","Track your item"
"No tracking info!","No tracking info!"
"Shipment Information","Shipment Information"
"Dispatched","Dispatched"
"In Transit","In Transit"
"Out for delivery","Out for delivery"
"Delivered","Delivered"
"Tracking Info","Tracking Info"
"Package prepared for dispatch","Package prepared for dispatch"
"Order number","Order number"
"Tracking code","Tracking code"
"Shipped on","Shipped on"
"Ships to","Ships to"
"For questions regarding your shipment contact carrier directly","For questions regarding your shipment contact carrier directly"
