"Total tracks","Total tracks"
"Unique sessions","Unieke sessies"
"More Details","Meer informatie"
"Visits Generated","Gegenereerde bezoeken"
"Shipments Tracked","Getraceerde verzendingen"
"Packpin Stats","Packpin Statistieken"
"----- Packpin carriers -----","----- Packpin Vervoerders -----"
"Select All","Alles Aanvinken"
"Unselect All","Alles Uitvinken"
"Packpin Notifications","Packpin Meldingen"
"Packpin Notification Settings","Packpin Meldingen Instellingen"
"Shipment status","Status Verzending"
"You have successfully unsubscribed from package status updates","U heeft zich nu uitgeschreven van Packpin status updates"
"Subscription not found or already unsubscribed!","Uw gegevens zijn niet gevonden, of u heeft zich al uitgeschreven!"
"Tracking info not found!","Verzendinformatie niet gevonden!"
"Unsubscribe","Uitschrijven"
"You have to enter API key before saving config!","U moet uw API sleutel invoeren voordat u deze instellingen opslaat"
"Error sending data to API","Er is een fout opgetreden bij het verzenden van informatie naar de API"
"Your temporary API key has expired!","Uw tijdelijke API sleutel is verlopen"
"Your temporary API key will expire in","Uw tijdelijke API sleutel verloopt over"
"%s days","%s dag(en)"
"While waiting, we have something for you. Check offerings bellow:","Terwijl u wacht hebben we iets voor u. Bekijk het volgende aanbod:"
"Add to Cart","Aan winkelwagen toevoegen"
"Shipped By","Verzonden Door"
"Tracking Number","Volgnummer Verzending"
"Track your item","Volg uw verzending"
"No tracking info!","Geen verzendinformatie gevonden!"
"Shipment Information","Verzendinformatie"
"Dispatched","Vrijgegeven"
"In Transit","Op Tussenstation"
"Out for delivery","Onderweg naar bezorgadres"
"Delivered","Bezorgd"
"Tracking Info","Volg Informatie"
"Package prepared for dispatch","Pakket Klaar voor Bezorging"
"Order number","Ordernummer"
"Tracking code","Volgnummer"
"Shipped on","Verzonden op"
"Ships to","Verzonden naar"
"For questions regarding your shipment contact carrier directly","Voor vragen met betrekking tot uw verzending vragen wij u contact op te nemen met het verzendbedrijf"
