"Total tracks","Total tracks"
"Unique sessions","Unique sessions"
"More Details","More Details"
"Visits Generated","Visits Generated"
"Shipments Tracked","Shipments Tracked"
"Packpin Stats","Packpin Stats"
"----- Packpin carriers -----","----- Packpin carriers -----"
"Select All","Seleccionar todos"
"Unselect All","Desseleccionar todos"
"Packpin Notifications","Packpin Notifications"
"Packpin Notification Settings","Packpin Notification Settings"
"Shipment status","Estado do envio"
"You have successfully unsubscribed from package status updates","Você cancelou as actualizações de estado de encomenda"
"Subscription not found or already unsubscribed!","Inscrição não foi encontrada ou já foi cancelada!"
"Tracking info not found!","Informação de localização não encontrada!"
"Unsubscribe","Anular inscrição"
"You have to enter API key before saving config!","Você tem de introduzir a chave API antes de salvar as configurações"
"Error sending data to API","Erro de envio de dados para API"
"Your temporary API key has expired!","A sua chave API temporária expirou!"
"Your temporary API key will expire in","A sua chave API vai expirar em"
"%s days","%s days"
"While waiting, we have something for you. Check offerings bellow:","Enquanto espera nós temos algo para si. Verifique as ofertas abaixo:"
"Add to Cart","Adicionar ao carrinho"
"Shipped By","Enviado por"
"Tracking Number","Número para localização"
"Track your item","Localize o seu item"
"No tracking info!","Sem informação de localização!"
"Shipment Information","Informação do despacho"
"Dispatched","Postado"
"In Transit","Em trânsito"
"Out for delivery","Expedido para entrega"
"Delivered","Entregue"
"Tracking Info","Informação de localização"
"Package prepared for dispatch","Encomenda preparada para expedição"
"Order number","Número de pedido"
"Tracking code","Código de localização"
"Shipped on","Enviado"
"Ships to","Envios para"
"For questions regarding your shipment contact carrier directly","Para questões relacionadas com o seu envio contacte directamente a sua transportadora"
